Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
9428434,WHS4_100,COUNTRY,QAT,YEAR,EMR,Eastern Mediterranean,,2012,,,,,,,,92,92.0,,,,2024-07-12T15:39:16.047+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
9435119,WHS4_100,COUNTRY,ARM,YEAR,EUR,Europe,,2000,,,,,,,,93,93.0,,,,2024-07-12T15:39:16.047+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
9440817,WHS4_100,COUNTRY,IRN,YEAR,EMR,Eastern Mediterranean,,2010,,,,,,,,99,99.0,,,,2024-07-12T15:39:16.047+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
9441035,WHS4_100,COUNTRY,ARE,YEAR,EMR,Eastern Mediterranean,,2018,,,,,,,,99,99.0,,,,2024-07-12T15:39:16.047+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
9442869,WHS4_100,COUNTRY,CUB,YEAR,AMR,Americas,,2001,,,,,,,,98,98.0,,,,2024-07-12T15:39:16.047+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
9444474,WHS4_100,COUNTRY,TTO,YEAR,AMR,Americas,,2013,,,,,,,,92,92.0,,,,2024-07-12T15:39:16.047+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
9447671,WHS4_100,COUNTRY,PAK,YEAR,EMR,Eastern Mediterranean,,2021,,,,,,,,83,83.0,,,,2024-07-12T15:39:16.047+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
9449608,WHS4_100,COUNTRY,VCT,YEAR,AMR,Americas,,2023,,,,,,,,94,94.0,,,,2024-07-12T15:39:16.047+02:00,2023,2023-01-01T00:00:00+01:00,2023-12-31T00:00:00+01:00
9449617,WHS4_100,COUNTRY,PRK,YEAR,SEAR,South-East Asia,,2009,,,,,,,,93,93.0,,,,2024-07-12T15:39:16.047+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
9450622,WHS4_100,COUNTRY,ZAF,YEAR,AFR,Africa,,2015,,,,,,,,85,85.0,,,,2024-07-12T15:39:16.047+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
9451115,WHS4_100,COUNTRY,YEM,YEAR,EMR,Eastern Mediterranean,,2005,,,,,,,,79,79.0,,,,2024-07-12T15:39:16.047+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
9463462,WHS4_100,REGION,WPR,YEAR,,,,2002,,,,,,,,85,85.0,,,,2024-07-12T15:39:16.047+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
9463612,WHS4_100,COUNTRY,POL,YEAR,EUR,Europe,,2022,,,,,,,,94,94.0,,,,2024-07-12T15:39:16.047+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
9463969,WHS4_100,COUNTRY,BTN,YEAR,SEAR,South-East Asia,,2003,,,,,,,,95,95.0,,,,2024-07-12T15:39:16.047+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
9464919,WHS4_100,COUNTRY,OMN,YEAR,EMR,Eastern Mediterranean,,2017,,,,,,,,99,99.0,,,,2024-07-12T15:39:16.047+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
9466372,WHS4_100,COUNTRY,COG,YEAR,AFR,Africa,,2009,,,,,,,,78,78.0,,,,2024-07-12T15:39:16.047+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
9468287,WHS4_100,WORLDBANKINCOMEGROUP,WB_HI,YEAR,,,,2020,,,,,,,,94,94.0,,,,2024-07-12T15:39:16.047+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
9472043,WHS4_100,COUNTRY,MDV,YEAR,SEAR,South-East Asia,,2020,,,,,,,,99,99.0,,,,2024-07-12T15:39:16.047+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
9473241,WHS4_100,COUNTRY,UGA,YEAR,AFR,Africa,,2023,,,,,,,,91,91.0,,,,2024-07-12T15:39:16.047+02:00,2023,2023-01-01T00:00:00+01:00,2023-12-31T00:00:00+01:00
9473675,WHS4_100,COUNTRY,BHS,YEAR,AMR,Americas,,2017,,,,,,,,94,94.0,,,,2024-07-12T15:39:16.047+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
9474345,WHS4_100,COUNTRY,DEU,YEAR,EUR,Europe,,2001,,,,,,,,93,93.0,,,,2024-07-12T15:39:16.047+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
9479067,WHS4_100,COUNTRY,BOL,YEAR,AMR,Americas,,2021,,,,,,,,70,70.0,,,,2024-07-12T15:39:16.047+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
9479163,WHS4_100,COUNTRY,NGA,YEAR,AFR,Africa,,2021,,,,,,,,62,62.0,,,,2024-07-12T15:39:16.047+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
9493583,WHS4_100,WORLDBANKINCOMEGROUP,WB_UMI,YEAR,,,,2002,,,,,,,,86,86.0,,,,2024-07-12T15:39:16.047+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
9503823,WHS4_100,COUNTRY,BLZ,YEAR,AMR,Americas,,2001,,,,,,,,96,96.0,,,,2024-07-12T15:39:16.047+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
9510389,WHS4_100,COUNTRY,KNA,YEAR,AMR,Americas,,2015,,,,,,,,94,94.0,,,,2024-07-12T15:39:16.047+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
