Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
9427982,WHS8_110,COUNTRY,COM,AFR,YEAR,Africa,,2019,,,,,,,,76,76.0,,,,2024-07-12T15:42:15.54+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
9432373,WHS8_110,COUNTRY,CAF,AFR,YEAR,Africa,,2022,,,,,,,,41,41.0,,,,2024-07-12T15:42:15.54+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
9433431,WHS8_110,COUNTRY,BRB,AMR,YEAR,Americas,,2019,,,,,,,,92,92.0,,,,2024-07-12T15:42:15.54+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
9435403,WHS8_110,COUNTRY,ERI,AFR,YEAR,Africa,,2009,,,,,,,,93,93.0,,,,2024-07-12T15:42:15.54+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
9436153,WHS8_110,COUNTRY,PAN,AMR,YEAR,Americas,,2008,,,,,,,,96,96.0,,,,2024-07-12T15:42:15.54+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
9437668,WHS8_110,COUNTRY,LSO,AFR,YEAR,Africa,,2010,,,,,,,,88,88.0,,,,2024-07-12T15:42:15.54+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
9438052,WHS8_110,COUNTRY,MHL,WPR,YEAR,Western Pacific,,2022,,,,,,,,81,81.0,,,,2024-07-12T15:42:15.54+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
9438110,WHS8_110,COUNTRY,SSD,AFR,YEAR,Africa,,2015,,,,,,,,52,52.0,,,,2024-07-12T15:42:15.54+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
9438207,WHS8_110,COUNTRY,BRA,AMR,YEAR,Americas,,2015,,,,,,,,96,96.0,,,,2024-07-12T15:42:15.54+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
9438370,WHS8_110,COUNTRY,COK,WPR,YEAR,Western Pacific,,2003,,,,,,,,99,99.0,,,,2024-07-12T15:42:15.54+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
9438808,WHS8_110,COUNTRY,ISL,EUR,YEAR,Europe,,2020,,,,,,,,93,93.0,,,,2024-07-12T15:42:15.54+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
9441579,WHS8_110,COUNTRY,COK,WPR,YEAR,Western Pacific,,2005,,,,,,,,99,99.0,,,,2024-07-12T15:42:15.54+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
9443939,WHS8_110,COUNTRY,PER,AMR,YEAR,Americas,,2022,,,,,,,,74,74.0,,,,2024-07-12T15:42:15.54+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
9444935,WHS8_110,COUNTRY,NPL,SEAR,YEAR,South-East Asia,,2010,,,,,,,,86,86.0,,,,2024-07-12T15:42:15.54+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
9444990,WHS8_110,COUNTRY,UZB,EUR,YEAR,Europe,,2013,,,,,,,,97,97.0,,,,2024-07-12T15:42:15.54+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
9445429,WHS8_110,COUNTRY,ARE,EMR,YEAR,Eastern Mediterranean,,2010,,,,,,,,94,94.0,,,,2024-07-12T15:42:15.54+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
9450833,WHS8_110,COUNTRY,ERI,AFR,YEAR,Africa,,2023,,,,,,,,93,93.0,,,,2024-07-12T15:42:15.54+02:00,2023,2023-01-01T00:00:00+01:00,2023-12-31T00:00:00+01:00
9451580,WHS8_110,COUNTRY,ESP,EUR,YEAR,Europe,,2014,,,,,,,,96,96.0,,,,2024-07-12T15:42:15.54+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
9453331,WHS8_110,COUNTRY,CPV,AFR,YEAR,Africa,,2015,,,,,,,,92,92.0,,,,2024-07-12T15:42:15.54+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
9459334,WHS8_110,COUNTRY,NIC,AMR,YEAR,Americas,,2010,,,,,,,,99,99.0,,,,2024-07-12T15:42:15.54+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
9460322,WHS8_110,COUNTRY,GNQ,AFR,YEAR,Africa,,2020,,,,,,,,50,50.0,,,,2024-07-12T15:42:15.54+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
9461599,WHS8_110,COUNTRY,PER,AMR,YEAR,Americas,,2014,,,,,,,,89,89.0,,,,2024-07-12T15:42:15.54+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
9462251,WHS8_110,COUNTRY,MLT,EUR,YEAR,Europe,,2009,,,,,,,,82,82.0,,,,2024-07-12T15:42:15.54+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
9464437,WHS8_110,COUNTRY,MWI,AFR,YEAR,Africa,,2005,,,,,,,,82,82.0,,,,2024-07-12T15:42:15.54+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
9469414,WHS8_110,COUNTRY,BHS,AMR,YEAR,Americas,,2005,,,,,,,,85,85.0,,,,2024-07-12T15:42:15.54+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
9470427,WHS8_110,COUNTRY,UGA,AFR,YEAR,Africa,,2023,,,,,,,,93,93.0,,,,2024-07-12T15:42:15.54+02:00,2023,2023-01-01T00:00:00+01:00,2023-12-31T00:00:00+01:00
9470775,WHS8_110,COUNTRY,DZA,AFR,YEAR,Africa,,2023,,,,,,,,99,99.0,,,,2024-07-12T15:42:15.54+02:00,2023,2023-01-01T00:00:00+01:00,2023-12-31T00:00:00+01:00
9473512,WHS8_110,COUNTRY,GBR,EUR,YEAR,Europe,,2010,,,,,,,,89,89.0,,,,2024-07-12T15:42:15.54+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
9479457,WHS8_110,COUNTRY,CIV,AFR,YEAR,Africa,,2017,,,,,,,,70,70.0,,,,2024-07-12T15:42:15.54+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
9482320,WHS8_110,COUNTRY,MLI,AFR,YEAR,Africa,,2021,,,,,,,,72,72.0,,,,2024-07-12T15:42:15.54+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
9483141,WHS8_110,COUNTRY,HTI,AMR,YEAR,Americas,,2005,,,,,,,,58,58.0,,,,2024-07-12T15:42:15.54+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
9489057,WHS8_110,COUNTRY,BOL,AMR,YEAR,Americas,,2017,,,,,,,,83,83.0,,,,2024-07-12T15:42:15.54+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
9489910,WHS8_110,COUNTRY,BRN,WPR,YEAR,Western Pacific,,2004,,,,,,,,99,99.0,,,,2024-07-12T15:42:15.54+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
9491498,WHS8_110,COUNTRY,BDI,AFR,YEAR,Africa,,2004,,,,,,,,78,78.0,,,,2024-07-12T15:42:15.54+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
9496476,WHS8_110,COUNTRY,USA,AMR,YEAR,Americas,,2020,,,,,,,,91,91.0,,,,2024-07-12T15:42:15.54+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
9505165,WHS8_110,COUNTRY,TUN,EMR,YEAR,Eastern Mediterranean,,2003,,,,,,,,90,90.0,,,,2024-07-12T15:42:15.54+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
9505489,WHS8_110,COUNTRY,BEL,EUR,YEAR,Europe,,2010,,,,,,,,95,95.0,,,,2024-07-12T15:42:15.54+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
9507008,WHS8_110,COUNTRY,PNG,WPR,YEAR,Western Pacific,,2009,,,,,,,,65,65.0,,,,2024-07-12T15:42:15.54+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
9507738,WHS8_110,COUNTRY,LBY,EMR,YEAR,Eastern Mediterranean,,2006,,,,,,,,98,98.0,,,,2024-07-12T15:42:15.54+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
9507786,WHS8_110,COUNTRY,JPN,WPR,YEAR,Western Pacific,,2013,,,,,,,,95,95.0,,,,2024-07-12T15:42:15.54+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
9508453,WHS8_110,COUNTRY,BEL,EUR,YEAR,Europe,,2018,,,,,,,,96,96.0,,,,2024-07-12T15:42:15.54+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
9509081,WHS8_110,COUNTRY,MCO,EUR,YEAR,Europe,,2019,,,,,,,,88,88.0,,,,2024-07-12T15:42:15.54+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
9509723,WHS8_110,COUNTRY,GRD,AMR,YEAR,Americas,,2008,,,,,,,,99,99.0,,,,2024-07-12T15:42:15.54+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
9511057,WHS8_110,COUNTRY,VEN,AMR,YEAR,Americas,,2013,,,,,,,,85,85.0,,,,2024-07-12T15:42:15.54+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
9513457,WHS8_110,COUNTRY,LBN,EMR,YEAR,Eastern Mediterranean,,2011,,,,,,,,81,81.0,,,,2024-07-12T15:42:15.54+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
9518190,WHS8_110,COUNTRY,PRK,SEAR,YEAR,South-East Asia,,2016,,,,,,,,99,99.0,,,,2024-07-12T15:42:15.54+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
9520073,WHS8_110,COUNTRY,DZA,AFR,YEAR,Africa,,2022,,,,,,,,79,79.0,,,,2024-07-12T15:42:15.54+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
9532515,WHS8_110,COUNTRY,MWI,AFR,YEAR,Africa,,2020,,,,,,,,90,90.0,,,,2024-07-12T15:42:15.54+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
9534838,WHS8_110,COUNTRY,TJK,EUR,YEAR,Europe,,2001,,,,,,,,88,88.0,,,,2024-07-12T15:42:15.54+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
9535167,WHS8_110,COUNTRY,CHE,EUR,YEAR,Europe,,2001,,,,,,,,82,82.0,,,,2024-07-12T15:42:15.54+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
9540257,WHS8_110,COUNTRY,ARE,EMR,YEAR,Eastern Mediterranean,,2015,,,,,,,,99,99.0,,,,2024-07-12T15:42:15.54+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
9540694,WHS8_110,COUNTRY,HND,AMR,YEAR,Americas,,2004,,,,,,,,92,92.0,,,,2024-07-12T15:42:15.54+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
9543363,WHS8_110,COUNTRY,STP,AFR,YEAR,Africa,,2007,,,,,,,,86,86.0,,,,2024-07-12T15:42:15.54+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
9543741,WHS8_110,COUNTRY,MUS,AFR,YEAR,Africa,,2000,,,,,,,,84,84.0,,,,2024-07-12T15:42:15.54+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
9543981,WHS8_110,COUNTRY,MOZ,AFR,YEAR,Africa,,2005,,,,,,,,78,78.0,,,,2024-07-12T15:42:15.54+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
9545697,WHS8_110,COUNTRY,TLS,SEAR,YEAR,South-East Asia,,2021,,,,,,,,72,72.0,,,,2024-07-12T15:42:15.54+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
9549454,WHS8_110,COUNTRY,IRN,EMR,YEAR,Eastern Mediterranean,,2016,,,,,,,,99,99.0,,,,2024-07-12T15:42:15.54+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
9551274,WHS8_110,COUNTRY,JPN,WPR,YEAR,Western Pacific,,2003,,,,,,,,98,98.0,,,,2024-07-12T15:42:15.54+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
9553041,WHS8_110,COUNTRY,KAZ,EUR,YEAR,Europe,,2010,,,,,,,,99,99.0,,,,2024-07-12T15:42:15.54+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
9553409,WHS8_110,COUNTRY,SWE,EUR,YEAR,Europe,,2007,,,,,,,,96,96.0,,,,2024-07-12T15:42:15.54+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
9561338,WHS8_110,COUNTRY,EGY,EMR,YEAR,Eastern Mediterranean,,2013,,,,,,,,96,96.0,,,,2024-07-12T15:42:15.54+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
9563705,WHS8_110,COUNTRY,VUT,WPR,YEAR,Western Pacific,,2008,,,,,,,,61,61.0,,,,2024-07-12T15:42:15.54+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
9567843,WHS8_110,COUNTRY,MEX,AMR,YEAR,Americas,,2017,,,,,,,,76,76.0,,,,2024-07-12T15:42:15.54+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
9568061,WHS8_110,COUNTRY,SWZ,AFR,YEAR,Africa,,2005,,,,,,,,93,93.0,,,,2024-07-12T15:42:15.54+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
9571529,WHS8_110,COUNTRY,TUV,WPR,YEAR,Western Pacific,,2009,,,,,,,,90,90.0,,,,2024-07-12T15:42:15.54+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
9576445,WHS8_110,REGION,AMR,,YEAR,,,2019,,,,,,,,87,87.0,,,,2024-07-12T15:42:15.54+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
9580104,WHS8_110,COUNTRY,ISL,EUR,YEAR,Europe,,2016,,,,,,,,91,91.0,,,,2024-07-12T15:42:15.54+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
9582310,WHS8_110,COUNTRY,MHL,WPR,YEAR,Western Pacific,,2020,,,,,,,,89,89.0,,,,2024-07-12T15:42:15.54+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
9588237,WHS8_110,COUNTRY,IRN,EMR,YEAR,Eastern Mediterranean,,2015,,,,,,,,99,99.0,,,,2024-07-12T15:42:15.54+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
9591985,WHS8_110,COUNTRY,GRD,AMR,YEAR,Americas,,2021,,,,,,,,70,70.0,,,,2024-07-12T15:42:15.54+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
9592045,WHS8_110,COUNTRY,CHE,EUR,YEAR,Europe,,2009,,,,,,,,92,92.0,,,,2024-07-12T15:42:15.54+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
9598269,WHS8_110,COUNTRY,ISL,EUR,YEAR,Europe,,2005,,,,,,,,90,90.0,,,,2024-07-12T15:42:15.54+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
9598286,WHS8_110,COUNTRY,ARM,EUR,YEAR,Europe,,2004,,,,,,,,92,92.0,,,,2024-07-12T15:42:15.54+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
9606564,WHS8_110,COUNTRY,PRY,AMR,YEAR,Americas,,2014,,,,,,,,84,84.0,,,,2024-07-12T15:42:15.54+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
9608731,WHS8_110,COUNTRY,GUY,AMR,YEAR,Americas,,2012,,,,,,,,99,99.0,,,,2024-07-12T15:42:15.54+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
9611474,WHS8_110,COUNTRY,BRA,AMR,YEAR,Americas,,2010,,,,,,,,99,99.0,,,,2024-07-12T15:42:15.54+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
9612655,WHS8_110,COUNTRY,LCA,AMR,YEAR,Americas,,2017,,,,,,,,87,87.0,,,,2024-07-12T15:42:15.54+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
9612755,WHS8_110,COUNTRY,LAO,WPR,YEAR,Western Pacific,,2012,,,,,,,,69,69.0,,,,2024-07-12T15:42:15.54+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
9615709,WHS8_110,COUNTRY,NAM,AFR,YEAR,Africa,,2022,,,,,,,,89,89.0,,,,2024-07-12T15:42:15.54+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
9616094,WHS8_110,COUNTRY,LAO,WPR,YEAR,Western Pacific,,2008,,,,,,,,52,52.0,,,,2024-07-12T15:42:15.54+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
9619697,WHS8_110,COUNTRY,MYS,WPR,YEAR,Western Pacific,,2017,,,,,,,,96,96.0,,,,2024-07-12T15:42:15.54+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
9619892,WHS8_110,COUNTRY,MRT,AFR,YEAR,Africa,,2019,,,,,,,,75,75.0,,,,2024-07-12T15:42:15.54+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
9621717,WHS8_110,COUNTRY,STP,AFR,YEAR,Africa,,2019,,,,,,,,95,95.0,,,,2024-07-12T15:42:15.54+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
9629003,WHS8_110,COUNTRY,KAZ,EUR,YEAR,Europe,,2009,,,,,,,,99,99.0,,,,2024-07-12T15:42:15.54+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
9630421,WHS8_110,COUNTRY,MHL,WPR,YEAR,Western Pacific,,2019,,,,,,,,85,85.0,,,,2024-07-12T15:42:15.54+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
9632899,WHS8_110,COUNTRY,SEN,AFR,YEAR,Africa,,2005,,,,,,,,74,74.0,,,,2024-07-12T15:42:15.54+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
9633851,WHS8_110,COUNTRY,FJI,WPR,YEAR,Western Pacific,,2018,,,,,,,,95,95.0,,,,2024-07-12T15:42:15.54+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
9634224,WHS8_110,COUNTRY,GRC,EUR,YEAR,Europe,,2005,,,,,,,,96,96.0,,,,2024-07-12T15:42:15.54+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
9634426,WHS8_110,COUNTRY,HRV,EUR,YEAR,Europe,,2006,,,,,,,,95,95.0,,,,2024-07-12T15:42:15.54+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
9635245,WHS8_110,COUNTRY,MOZ,AFR,YEAR,Africa,,2004,,,,,,,,79,79.0,,,,2024-07-12T15:42:15.54+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
9635408,WHS8_110,COUNTRY,HND,AMR,YEAR,Americas,,2016,,,,,,,,98,98.0,,,,2024-07-12T15:42:15.54+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
9637202,WHS8_110,COUNTRY,JOR,EMR,YEAR,Eastern Mediterranean,,2013,,,,,,,,97,97.0,,,,2024-07-12T15:42:15.54+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
9637593,WHS8_110,COUNTRY,KOR,WPR,YEAR,Western Pacific,,2016,,,,,,,,98,98.0,,,,2024-07-12T15:42:15.54+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
9638572,WHS8_110,COUNTRY,CYP,EUR,YEAR,Europe,,2019,,,,,,,,86,86.0,,,,2024-07-12T15:42:15.54+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
9639022,WHS8_110,COUNTRY,HTI,AMR,YEAR,Americas,,2009,,,,,,,,63,63.0,,,,2024-07-12T15:42:15.54+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
9643115,WHS8_110,COUNTRY,GMB,AFR,YEAR,Africa,,2023,,,,,,,,80,80.0,,,,2024-07-12T15:42:15.54+02:00,2023,2023-01-01T00:00:00+01:00,2023-12-31T00:00:00+01:00
9644095,WHS8_110,COUNTRY,CYP,EUR,YEAR,Europe,,2004,,,,,,,,86,86.0,,,,2024-07-12T15:42:15.54+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
9645135,WHS8_110,COUNTRY,HTI,AMR,YEAR,Americas,,2003,,,,,,,,57,57.0,,,,2024-07-12T15:42:15.54+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
9650940,WHS8_110,COUNTRY,MLI,AFR,YEAR,Africa,,2012,,,,,,,,67,67.0,,,,2024-07-12T15:42:15.54+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
9653427,WHS8_110,COUNTRY,GNQ,AFR,YEAR,Africa,,2013,,,,,,,,51,51.0,,,,2024-07-12T15:42:15.54+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
9655892,WHS8_110,COUNTRY,SOM,EMR,YEAR,Eastern Mediterranean,,2004,,,,,,,,40,40.0,,,,2024-07-12T15:42:15.54+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
9660180,WHS8_110,COUNTRY,KAZ,EUR,YEAR,Europe,,2006,,,,,,,,99,99.0,,,,2024-07-12T15:42:15.54+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
9660714,WHS8_110,COUNTRY,JPN,WPR,YEAR,Western Pacific,,2022,,,,,,,,98,98.0,,,,2024-07-12T15:42:15.54+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
9661979,WHS8_110,COUNTRY,MAR,EMR,YEAR,Eastern Mediterranean,,2002,,,,,,,,94,94.0,,,,2024-07-12T15:42:15.54+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
9664119,WHS8_110,COUNTRY,ESP,EUR,YEAR,Europe,,2006,,,,,,,,97,97.0,,,,2024-07-12T15:42:15.54+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
9665665,WHS8_110,COUNTRY,COD,AFR,YEAR,Africa,,2016,,,,,,,,63,63.0,,,,2024-07-12T15:42:15.54+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
9665955,WHS8_110,COUNTRY,NPL,SEAR,YEAR,South-East Asia,,2012,,,,,,,,86,86.0,,,,2024-07-12T15:42:15.54+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
9666956,WHS8_110,COUNTRY,VUT,WPR,YEAR,Western Pacific,,2003,,,,,,,,56,56.0,,,,2024-07-12T15:42:15.54+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
9667612,WHS8_110,COUNTRY,ISR,EUR,YEAR,Europe,,2021,,,,,,,,99,99.0,,,,2024-07-12T15:42:15.54+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
9670327,WHS8_110,COUNTRY,HRV,EUR,YEAR,Europe,,2008,,,,,,,,96,96.0,,,,2024-07-12T15:42:15.54+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
9670527,WHS8_110,COUNTRY,JAM,AMR,YEAR,Americas,,2008,,,,,,,,88,88.0,,,,2024-07-12T15:42:15.54+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
9670902,WHS8_110,REGION,AMR,,YEAR,,,2006,,,,,,,,94,94.0,,,,2024-07-12T15:42:15.54+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
9672604,WHS8_110,COUNTRY,FJI,WPR,YEAR,Western Pacific,,2021,,,,,,,,99,99.0,,,,2024-07-12T15:42:15.54+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
9673208,WHS8_110,COUNTRY,JPN,WPR,YEAR,Western Pacific,,2023,,,,,,,,94,94.0,,,,2024-07-12T15:42:15.54+02:00,2023,2023-01-01T00:00:00+01:00,2023-12-31T00:00:00+01:00
