Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
4641339,MCV2,COUNTRY,UKR,EUR,YEAR,Europe,,2019,,,,,,,,92,92.0,,,,2024-07-12T15:36:37.797+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
8078878,MCV2,COUNTRY,BRA,AMR,YEAR,Americas,,2017,,,,,,,,67,67.0,,,,2024-07-12T15:36:37.797+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
4801514,MCV2,COUNTRY,MWI,AFR,YEAR,Africa,,2023,,,,,,,,65,65.0,,,,2024-07-12T15:36:37.797+02:00,2023,2023-01-01T00:00:00+01:00,2023-12-31T00:00:00+01:00
6623280,MCV2,COUNTRY,SMR,EUR,YEAR,Europe,,2018,,,,,,,,84,84.0,,,,2024-07-12T15:36:37.797+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
8385762,MCV2,COUNTRY,GMB,AFR,YEAR,Africa,,2016,,,,,,,,79,79.0,,,,2024-07-12T15:36:37.797+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
8399114,MCV2,COUNTRY,GHA,AFR,YEAR,Africa,,2016,,,,,,,,75,75.0,,,,2024-07-12T15:36:37.797+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
1682891,MCV2,COUNTRY,EGY,EMR,YEAR,Eastern Mediterranean,,2001,,,,,,,,99,99.0,,,,2024-07-12T15:36:37.797+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
5121135,MCV2,COUNTRY,KWT,EMR,YEAR,Eastern Mediterranean,,2006,,,,,,,,96,96.0,,,,2024-07-12T15:36:37.797+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
166476,MCV2,COUNTRY,BLR,EUR,YEAR,Europe,,2005,,,,,,,,98,98.0,,,,2024-07-12T15:36:37.797+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
5348149,MCV2,COUNTRY,BOL,AMR,YEAR,Americas,,2020,,,,,,,,46,46.0,,,,2024-07-12T15:36:37.797+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
