Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
9435167,WHS4_544,COUNTRY,KAZ,EUR,YEAR,Europe,,,2000,,,,,,,96,96.0,,,,2024-07-12T15:42:15.54+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
9435883,WHS4_544,COUNTRY,EST,EUR,YEAR,Europe,,,2015,,,,,,,93,93.0,,,,2024-07-12T15:42:15.54+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
9438733,WHS4_544,REGION,EMR,,YEAR,,,,2014,,,,,,,79,79.0,,,,2024-07-12T15:42:15.54+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
9440528,WHS4_544,COUNTRY,BTN,SEAR,YEAR,South-East Asia,,,2012,,,,,,,97,97.0,,,,2024-07-12T15:42:15.54+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
9440535,WHS4_544,COUNTRY,AUS,WPR,YEAR,Western Pacific,,,2009,,,,,,,92,92.0,,,,2024-07-12T15:42:15.54+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
9447687,WHS4_544,COUNTRY,LBY,EMR,YEAR,Eastern Mediterranean,,,2011,,,,,,,98,98.0,,,,2024-07-12T15:42:15.54+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
9449202,WHS4_544,COUNTRY,BHR,EMR,YEAR,Eastern Mediterranean,,,2018,,,,,,,99,99.0,,,,2024-07-12T15:42:15.54+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
9454750,WHS4_544,COUNTRY,LBN,EMR,YEAR,Eastern Mediterranean,,,2002,,,,,,,77,77.0,,,,2024-07-12T15:42:15.54+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
9461483,WHS4_544,COUNTRY,TLS,SEAR,YEAR,South-East Asia,,,2017,,,,,,,83,83.0,,,,2024-07-12T15:42:15.54+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
9465182,WHS4_544,COUNTRY,NLD,EUR,YEAR,Europe,,,2023,,,,,,,92,92.0,,,,2024-07-12T15:42:15.54+02:00,2023,2023-01-01T00:00:00+01:00,2023-12-31T00:00:00+01:00
9465394,WHS4_544,COUNTRY,KEN,AFR,YEAR,Africa,,,2008,,,,,,,88,88.0,,,,2024-07-12T15:42:15.54+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
9472152,WHS4_544,COUNTRY,MHL,WPR,YEAR,Western Pacific,,,2006,,,,,,,95,95.0,,,,2024-07-12T15:42:15.54+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
9472461,WHS4_544,COUNTRY,HRV,EUR,YEAR,Europe,,,2015,,,,,,,94,94.0,,,,2024-07-12T15:42:15.54+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
9477641,WHS4_544,COUNTRY,PLW,WPR,YEAR,Western Pacific,,,2016,,,,,,,98,98.0,,,,2024-07-12T15:42:15.54+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
9484823,WHS4_544,COUNTRY,USA,AMR,YEAR,Americas,,,2015,,,,,,,93,93.0,,,,2024-07-12T15:42:15.54+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
9491643,WHS4_544,COUNTRY,MYS,WPR,YEAR,Western Pacific,,,2000,,,,,,,98,98.0,,,,2024-07-12T15:42:15.54+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
9499668,WHS4_544,COUNTRY,SLV,AMR,YEAR,Americas,,,2021,,,,,,,96,96.0,,,,2024-07-12T15:42:15.54+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
