Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
7724552,PCV3,COUNTRY,DZA,AFR,YEAR,Africa,,,2019,,,,,,,87,87.0,,,,2024-07-12T15:36:37.797+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
6169371,PCV3,REGION,EMR,,YEAR,,,,2015,,,,,,,51,51.0,,,,2024-07-12T15:36:37.797+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
6189205,PCV3,COUNTRY,PAK,EMR,YEAR,Eastern Mediterranean,,,2014,,,,,,,68,68.0,,,,2024-07-12T15:36:37.797+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
1068132,PCV3,COUNTRY,MOZ,AFR,YEAR,Africa,,,2023,,,,,,,55,55.0,,,,2024-07-12T15:36:37.797+02:00,2023,2023-01-01T00:00:00+01:00,2023-12-31T00:00:00+01:00
8819551,PCV3,COUNTRY,MLI,AFR,YEAR,Africa,,,2014,,,,,,,57,57.0,,,,2024-07-12T15:36:37.797+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
1468787,PCV3,COUNTRY,SGP,WPR,YEAR,Western Pacific,,,2014,,,,,,,68,68.0,,,,2024-07-12T15:36:37.797+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
8532361,PCV3,COUNTRY,MUS,AFR,YEAR,Africa,,,2022,,,,,,,97,97.0,,,,2024-07-12T15:36:37.797+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
3612459,PCV3,COUNTRY,MLI,AFR,YEAR,Africa,,,2011,,,,,,,56,56.0,,,,2024-07-12T15:36:37.797+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
3619166,PCV3,COUNTRY,BDI,AFR,YEAR,Africa,,,2014,,,,,,,95,95.0,,,,2024-07-12T15:36:37.797+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
5428142,PCV3,COUNTRY,ALB,EUR,YEAR,Europe,,,2023,,,,,,,85,85.0,,,,2024-07-12T15:36:37.797+02:00,2023,2023-01-01T00:00:00+01:00,2023-12-31T00:00:00+01:00
2109760,PCV3,COUNTRY,HUN,EUR,YEAR,Europe,,,2020,,,,,,,99,99.0,,,,2024-07-12T15:36:37.797+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
5821891,PCV3,COUNTRY,HND,AMR,YEAR,Americas,,,2018,,,,,,,91,91.0,,,,2024-07-12T15:36:37.797+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
4133574,PCV3,COUNTRY,FIN,EUR,YEAR,Europe,,,2012,,,,,,,92,92.0,,,,2024-07-12T15:36:37.797+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
9333392,PCV3,COUNTRY,SWZ,AFR,YEAR,Africa,,,2016,,,,,,,90,90.0,,,,2024-07-12T15:36:37.797+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
2750735,PCV3,COUNTRY,BFA,AFR,YEAR,Africa,,,2018,,,,,,,91,91.0,,,,2024-07-12T15:36:37.797+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
6176134,PCV3,COUNTRY,KHM,WPR,YEAR,Western Pacific,,,2015,,,,,,,68,68.0,,,,2024-07-12T15:36:37.797+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
106107,PCV3,COUNTRY,HND,AMR,YEAR,Americas,,,2022,,,,,,,78,78.0,,,,2024-07-12T15:36:37.797+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
7764688,PCV3,COUNTRY,USA,AMR,YEAR,Americas,,,2011,,,,,,,94,94.0,,,,2024-07-12T15:36:37.797+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
994732,PCV3,COUNTRY,TTO,AMR,YEAR,Americas,,,2014,,,,,,,95,95.0,,,,2024-07-12T15:36:37.797+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
8492346,PCV3,COUNTRY,CIV,AFR,YEAR,Africa,,,2015,,,,,,,70,70.0,,,,2024-07-12T15:36:37.797+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
3512277,PCV3,COUNTRY,STP,AFR,YEAR,Africa,,,2013,,,,,,,97,97.0,,,,2024-07-12T15:36:37.797+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
6943571,PCV3,COUNTRY,ISL,EUR,YEAR,Europe,,,2022,,,,,,,84,84.0,,,,2024-07-12T15:36:37.797+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
7010281,PCV3,COUNTRY,IRL,EUR,YEAR,Europe,,,2021,,,,,,,85,85.0,,,,2024-07-12T15:36:37.797+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
373418,PCV3,COUNTRY,IRL,EUR,YEAR,Europe,,,2016,,,,,,,91,91.0,,,,2024-07-12T15:36:37.797+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
