Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
9428291,WHS4_129,COUNTRY,MHL,YEAR,WPR,Western Pacific,,2010,,,,,,,,92,92.0,,,,2024-07-12T15:39:16.047+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
9432035,WHS4_129,COUNTRY,BEN,YEAR,AFR,Africa,,2013,,,,,,,,77,77.0,,,,2024-07-12T15:39:16.047+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
9435681,WHS4_129,COUNTRY,JOR,YEAR,EMR,Eastern Mediterranean,,2004,,,,,,,,95,95.0,,,,2024-07-12T15:39:16.047+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
9441192,WHS4_129,COUNTRY,BLZ,YEAR,AMR,Americas,,2002,,,,,,,,89,89.0,,,,2024-07-12T15:39:16.047+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
9442503,WHS4_129,COUNTRY,TTO,YEAR,AMR,Americas,,2014,,,,,,,,92,92.0,,,,2024-07-12T15:39:16.047+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
9442608,WHS4_129,COUNTRY,MDG,YEAR,AFR,Africa,,2017,,,,,,,,65,65.0,,,,2024-07-12T15:39:16.047+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
9445031,WHS4_129,COUNTRY,CHE,YEAR,EUR,Europe,,2021,,,,,,,,95,95.0,,,,2024-07-12T15:39:16.047+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
9446108,WHS4_129,COUNTRY,SAU,YEAR,EMR,Eastern Mediterranean,,2007,,,,,,,,96,96.0,,,,2024-07-12T15:39:16.047+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
9449855,WHS4_129,COUNTRY,DZA,YEAR,AFR,Africa,,2017,,,,,,,,91,91.0,,,,2024-07-12T15:39:16.047+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
9453425,WHS4_129,COUNTRY,FIN,YEAR,EUR,Europe,,2019,,,,,,,,91,91.0,,,,2024-07-12T15:39:16.047+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
9454151,WHS4_129,COUNTRY,LBY,YEAR,EMR,Eastern Mediterranean,,2019,,,,,,,,73,73.0,,,,2024-07-12T15:39:16.047+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
9454768,WHS4_129,COUNTRY,POL,YEAR,EUR,Europe,,2007,,,,,,,,88,88.0,,,,2024-07-12T15:39:16.047+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
9455478,WHS4_129,COUNTRY,ERI,YEAR,AFR,Africa,,2010,,,,,,,,95,95.0,,,,2024-07-12T15:39:16.047+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
9457570,WHS4_129,COUNTRY,BRA,YEAR,AMR,Americas,,2005,,,,,,,,96,96.0,,,,2024-07-12T15:39:16.047+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
9461478,WHS4_129,COUNTRY,NIU,YEAR,WPR,Western Pacific,,2017,,,,,,,,99,99.0,,,,2024-07-12T15:39:16.047+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
9464630,WHS4_129,COUNTRY,NIU,YEAR,WPR,Western Pacific,,2021,,,,,,,,99,99.0,,,,2024-07-12T15:39:16.047+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
9464872,WHS4_129,COUNTRY,SDN,YEAR,EMR,Eastern Mediterranean,,2016,,,,,,,,93,93.0,,,,2024-07-12T15:39:16.047+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
9465940,WHS4_129,COUNTRY,CRI,YEAR,AMR,Americas,,2006,,,,,,,,88,88.0,,,,2024-07-12T15:39:16.047+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
9466324,WHS4_129,COUNTRY,NOR,YEAR,EUR,Europe,,2020,,,,,,,,97,97.0,,,,2024-07-12T15:39:16.047+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
9466408,WHS4_129,COUNTRY,CYP,YEAR,EUR,Europe,,2001,,,,,,,,35,35.0,,,,2024-07-12T15:39:16.047+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
9466942,WHS4_129,COUNTRY,ITA,YEAR,EUR,Europe,,2023,,,,,,,,95,95.0,,,,2024-07-12T15:39:16.047+02:00,2023,2023-01-01T00:00:00+01:00,2023-12-31T00:00:00+01:00
9470122,WHS4_129,REGION,AMR,YEAR,,,,2006,,,,,,,,92,92.0,,,,2024-07-12T15:39:16.047+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
9476201,WHS4_129,COUNTRY,MEX,YEAR,AMR,Americas,,2017,,,,,,,,85,85.0,,,,2024-07-12T15:39:16.047+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
9482797,WHS4_129,COUNTRY,CYP,YEAR,EUR,Europe,,2008,,,,,,,,93,93.0,,,,2024-07-12T15:39:16.047+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
9483429,WHS4_129,COUNTRY,MOZ,YEAR,AFR,Africa,,2019,,,,,,,,85,85.0,,,,2024-07-12T15:39:16.047+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
9492160,WHS4_129,COUNTRY,LAO,YEAR,WPR,Western Pacific,,2023,,,,,,,,84,84.0,,,,2024-07-12T15:39:16.047+02:00,2023,2023-01-01T00:00:00+01:00,2023-12-31T00:00:00+01:00
9495043,WHS4_129,COUNTRY,BHR,YEAR,EMR,Eastern Mediterranean,,2011,,,,,,,,99,99.0,,,,2024-07-12T15:39:16.047+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
9496806,WHS4_129,COUNTRY,SVK,YEAR,EUR,Europe,,2016,,,,,,,,96,96.0,,,,2024-07-12T15:39:16.047+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
9497374,WHS4_129,COUNTRY,JAM,YEAR,AMR,Americas,,2006,,,,,,,,97,97.0,,,,2024-07-12T15:39:16.047+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
9498024,WHS4_129,COUNTRY,KOR,YEAR,WPR,Western Pacific,,2023,,,,,,,,96,96.0,,,,2024-07-12T15:39:16.047+02:00,2023,2023-01-01T00:00:00+01:00,2023-12-31T00:00:00+01:00
9498545,WHS4_129,COUNTRY,GTM,YEAR,AMR,Americas,,2017,,,,,,,,91,91.0,,,,2024-07-12T15:39:16.047+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
9503067,WHS4_129,COUNTRY,LUX,YEAR,EUR,Europe,,2008,,,,,,,,99,99.0,,,,2024-07-12T15:39:16.047+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
9509841,WHS4_129,COUNTRY,FSM,YEAR,WPR,Western Pacific,,2022,,,,,,,,54,54.0,,,,2024-07-12T15:39:16.047+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
9511551,WHS4_129,COUNTRY,AUS,YEAR,WPR,Western Pacific,,2019,,,,,,,,95,95.0,,,,2024-07-12T15:39:16.047+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
9512825,WHS4_129,COUNTRY,LUX,YEAR,EUR,Europe,,2017,,,,,,,,99,99.0,,,,2024-07-12T15:39:16.047+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
9513211,WHS4_129,COUNTRY,BWA,YEAR,AFR,Africa,,2013,,,,,,,,95,95.0,,,,2024-07-12T15:39:16.047+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
9514371,WHS4_129,COUNTRY,COM,YEAR,AFR,Africa,,2010,,,,,,,,74,74.0,,,,2024-07-12T15:39:16.047+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
9515849,WHS4_129,WORLDBANKINCOMEGROUP,WB_LMI,YEAR,,,,2008,,,,,,,,9,9.0,,,,2024-07-12T15:39:16.047+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
9523916,WHS4_129,COUNTRY,ESP,YEAR,EUR,Europe,,2021,,,,,,,,91,91.0,,,,2024-07-12T15:39:16.047+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
9525354,WHS4_129,COUNTRY,PRY,YEAR,AMR,Americas,,2014,,,,,,,,93,93.0,,,,2024-07-12T15:39:16.047+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
9527006,WHS4_129,COUNTRY,DNK,YEAR,EUR,Europe,,2002,,,,,,,,96,96.0,,,,2024-07-12T15:39:16.047+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
9529091,WHS4_129,COUNTRY,TLS,YEAR,SEAR,South-East Asia,,2018,,,,,,,,83,83.0,,,,2024-07-12T15:39:16.047+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
9530721,WHS4_129,COUNTRY,SMR,YEAR,EUR,Europe,,2012,,,,,,,,87,87.0,,,,2024-07-12T15:39:16.047+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
9531303,WHS4_129,GLOBAL,GLOBAL,YEAR,,,,2004,,,,,,,,19,19.0,,,,2024-07-12T15:39:16.047+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
9531941,WHS4_129,COUNTRY,TON,YEAR,WPR,Western Pacific,,2005,,,,,,,,99,99.0,,,,2024-07-12T15:39:16.047+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
9535401,WHS4_129,COUNTRY,CIV,YEAR,AFR,Africa,,2021,,,,,,,,73,73.0,,,,2024-07-12T15:39:16.047+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
9538310,WHS4_129,COUNTRY,GBR,YEAR,EUR,Europe,,2022,,,,,,,,92,92.0,,,,2024-07-12T15:39:16.047+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
9539919,WHS4_129,COUNTRY,MEX,YEAR,AMR,Americas,,2002,,,,,,,,97,97.0,,,,2024-07-12T15:39:16.047+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
9544640,WHS4_129,COUNTRY,SLB,YEAR,WPR,Western Pacific,,2020,,,,,,,,94,94.0,,,,2024-07-12T15:39:16.047+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
9546054,WHS4_129,COUNTRY,GHA,YEAR,AFR,Africa,,2003,,,,,,,,80,80.0,,,,2024-07-12T15:39:16.047+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
9548298,WHS4_129,COUNTRY,NER,YEAR,AFR,Africa,,2020,,,,,,,,81,81.0,,,,2024-07-12T15:39:16.047+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
