Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
4343643,vfull,COUNTRY,GUY,AMR,YEAR,Americas,DHSMICSGEOREGION,DHSMICSGEOREGION_GUYMICS201905,2019,,,,,DATASOURCE,DATASOURCE_EQ_MICS,28.1 [21.5-35.8],28.07909,21.49511,35.7611,Attention - Estimate is based on 25-49 cases,2022-05-26T14:25:25+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
4344480,vfull,COUNTRY,GEO,EUR,YEAR,Europe,SEX,SEX_MLE,2005,,,,,DATASOURCE,DATASOURCE_EQ_MICS,No data,,,,Not available,2022-05-26T11:45:40+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
4348922,vfull,COUNTRY,MNG,WPR,YEAR,Western Pacific,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE02,2010,,,,,DATASOURCE,DATASOURCE_EQ_MICS,80.1 [70.7-87.0],80.07658,70.71261,86.99716,,2022-05-26T12:19:43+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
4350469,vfull,COUNTRY,KAZ,EUR,YEAR,Europe,DHSMICSGEOREGION,DHSMICSGEOREGION_KAZMICS200601,2006,,,,,DATASOURCE,DATASOURCE_EQ_MICS,96.7 [79.7-99.5],96.70703,79.65957,99.54797,Attention - Estimate is based on 25-49 cases,2022-05-26T14:30:14+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
4352247,vfull,COUNTRY,NIC,AMR,YEAR,Americas,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE04,2001,,,,,DATASOURCE,DATASOURCE_EQ_DHS,80.7 [70.5-88.0],80.70702,70.46843,88.00034,,2022-05-26T12:22:16+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
4352258,vfull,COUNTRY,LSO,AFR,YEAR,Africa,DHSMICSGEOREGION,DHSMICSGEOREGION_LSODHS201409,2014,,,,,DATASOURCE,DATASOURCE_EQ_DHS,50.7 [39.6-61.8],50.71577,39.60352,61.75774,,2022-05-26T14:31:59+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
4352501,vfull,COUNTRY,SLE,AFR,YEAR,Africa,WEALTHQUINTILE,WEALTHQUINTILE_WQ1,2013,,,,,DATASOURCE,DATASOURCE_EQ_DHS,73.8 [68.3-78.7],73.82224,68.31622,78.67017,,2022-05-26T13:03:57+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
4352541,vfull,COUNTRY,VNM,WPR,YEAR,Western Pacific,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE04,2006,,,,,DATASOURCE,DATASOURCE_EQ_MICS,60.8 [46.4-73.6],60.82322,46.38599,73.58651,,2022-05-26T12:37:45+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
4352835,vfull,COUNTRY,BGD,SEAR,YEAR,South-East Asia,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE05,2019,,,,,DATASOURCE,DATASOURCE_EQ_MICS,No data,,,,Not available,2022-05-26T11:58:20+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
4354245,vfull,COUNTRY,TUN,EMR,YEAR,Eastern Mediterranean,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,2011,,,,,DATASOURCE,DATASOURCE_EQ_MICS,80.4 [72.9-86.2],80.39569,72.86105,86.23371,,2022-05-26T11:40:08+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
4357138,vfull,COUNTRY,MDG,AFR,YEAR,Africa,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE03,2018,,,,,DATASOURCE,DATASOURCE_EQ_MICS,30.7 [25.0-37.2],30.73446,24.97309,37.16655,,2022-05-26T12:17:33+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
4358578,vfull,COUNTRY,BRA,AMR,YEAR,Americas,DHSMICSGEOREGION,DHSMICSGEOREGION_BRADHS199605,1996,,,,,DATASOURCE,DATASOURCE_EQ_DHS,87.1 [78.1-92.7],87.07401,78.10066,92.71352,,2022-05-26T14:14:14+02:00,1996,1996-01-01T00:00:00+01:00,1996-12-31T00:00:00+01:00
4359644,vfull,COUNTRY,UZB,EUR,YEAR,Europe,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE10,2006,,,,,DATASOURCE,DATASOURCE_EQ_MICS,79.0 [68.5-86.7],78.9913,68.49876,86.66911,,2022-05-26T12:37:21+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
4359786,vfull,COUNTRY,BLZ,AMR,YEAR,Americas,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE06,2006,,,,,DATASOURCE,DATASOURCE_EQ_MICS,61.0 [38.5-79.5],60.95927,38.52898,79.54924,Attention - Estimate is based on 25-49 cases,2022-05-26T11:58:55+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
4359846,vfull,COUNTRY,HND,AMR,YEAR,Americas,DHSMICSGEOREGION,DHSMICSGEOREGION_HNDRHS200110,2001,,,,,DATASOURCE,DATASOURCE_EQ_RHS,No data,,,,Not reported - Estimate is based on fewer than 25 cases,2022-05-26T14:26:08+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
4360754,vfull,COUNTRY,NPL,SEAR,YEAR,South-East Asia,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE09,2014,,,,,DATASOURCE,DATASOURCE_EQ_MICS,92.4 [81.8-97.0],92.39229,81.77486,97.04763,,2022-05-26T12:21:46+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
4360955,vfull,COUNTRY,PER,AMR,YEAR,Americas,EDUCATIONLEVEL,EDUCATIONLEVEL_SHLM,2012,,,,,DATASOURCE,DATASOURCE_EQ_DHS,76.0 [72.4-79.3],76.0476,72.44467,79.31395,,2022-05-26T11:22:57+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
4361546,vfull,COUNTRY,ZMB,AFR,YEAR,Africa,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE08,2001,,,,,DATASOURCE,DATASOURCE_EQ_DHS,82.7 [74.3-88.8],82.69767,74.31707,88.7573,,2022-05-26T12:38:24+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
4362168,vfull,COUNTRY,NAM,AFR,YEAR,Africa,WEALTHQUINTILE,WEALTHQUINTILE_WQ1,2000,,,,,DATASOURCE,DATASOURCE_EQ_DHS,55.9 [44.1-67.0],55.86599,44.09142,67.01586,,2022-05-26T12:58:44+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
4362173,vfull,COUNTRY,BOL,AMR,YEAR,Americas,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE05,1994,,,,,DATASOURCE,DATASOURCE_EQ_DHS,28.4 [19.8-38.9],28.39639,19.79099,38.92757,,2022-05-26T11:59:55+02:00,1994,1994-01-01T00:00:00+01:00,1994-12-31T00:00:00+01:00
4362782,vfull,COUNTRY,ZWE,AFR,YEAR,Africa,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE06,2009,,,,,DATASOURCE,DATASOURCE_EQ_MICS,56.4 [47.3-65.2],56.4495,47.30579,65.17462,,2022-05-26T12:39:07+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
4363944,vfull,COUNTRY,EGY,EMR,YEAR,Eastern Mediterranean,EDUCATIONLEVEL,EDUCATIONLEVEL_SHLM,2000,,,,,DATASOURCE,DATASOURCE_EQ_DHS,92.6 [90.8-94.1],92.62787,90.79948,94.11644,,2022-05-26T11:17:11+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
4365133,vfull,COUNTRY,UKR,EUR,YEAR,Europe,DHSMICSGEOREGION,DHSMICSGEOREGION_UKRMICS201204,2012,,,,,DATASOURCE,DATASOURCE_EQ_MICS,58.7 [44.8-71.3],58.69764,44.81029,71.32658,,2022-05-26T14:50:49+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
