Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
9434839,WHS4_543,COUNTRY,EGY,EMR,YEAR,Eastern Mediterranean,,2021,,,,,,,,97,97.0,,,,2024-07-12T15:42:15.54+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
9438590,WHS4_543,COUNTRY,DZA,AFR,YEAR,Africa,,2012,,,,,,,,99,99.0,,,,2024-07-12T15:42:15.54+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
9440203,WHS4_543,COUNTRY,SOM,EMR,YEAR,Eastern Mediterranean,,2017,,,,,,,,37,37.0,,,,2024-07-12T15:42:15.54+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
9449137,WHS4_543,COUNTRY,IDN,SEAR,YEAR,South-East Asia,,2013,,,,,,,,90,90.0,,,,2024-07-12T15:42:15.54+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
9454408,WHS4_543,COUNTRY,MNG,WPR,YEAR,Western Pacific,,2003,,,,,,,,98,98.0,,,,2024-07-12T15:42:15.54+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
9462899,WHS4_543,COUNTRY,ROU,EUR,YEAR,Europe,,2014,,,,,,,,98,98.0,,,,2024-07-12T15:42:15.54+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
9463935,WHS4_543,COUNTRY,SYC,AFR,YEAR,Africa,,2018,,,,,,,,97,97.0,,,,2024-07-12T15:42:15.54+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
9470384,WHS4_543,COUNTRY,JOR,EMR,YEAR,Eastern Mediterranean,,2005,,,,,,,,89,89.0,,,,2024-07-12T15:42:15.54+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
9472622,WHS4_543,COUNTRY,SOM,EMR,YEAR,Eastern Mediterranean,,2008,,,,,,,,36,36.0,,,,2024-07-12T15:42:15.54+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
9473557,WHS4_543,COUNTRY,SVK,EUR,YEAR,Europe,,2009,,,,,,,,97,97.0,,,,2024-07-12T15:42:15.54+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
9491622,WHS4_543,COUNTRY,LBY,EMR,YEAR,Eastern Mediterranean,,2015,,,,,,,,99,99.0,,,,2024-07-12T15:42:15.54+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
9492327,WHS4_543,COUNTRY,HUN,EUR,YEAR,Europe,,2014,,,,,,,,99,99.0,,,,2024-07-12T15:42:15.54+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
9498881,WHS4_543,COUNTRY,PRK,SEAR,YEAR,South-East Asia,,2006,,,,,,,,96,96.0,,,,2024-07-12T15:42:15.54+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
9499212,WHS4_543,COUNTRY,TON,WPR,YEAR,Western Pacific,,2013,,,,,,,,99,99.0,,,,2024-07-12T15:42:15.54+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
9499432,WHS4_543,COUNTRY,CMR,AFR,YEAR,Africa,,2000,,,,,,,,78,78.0,,,,2024-07-12T15:42:15.54+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
9505250,WHS4_543,COUNTRY,BEN,AFR,YEAR,Africa,,2017,,,,,,,,88,88.0,,,,2024-07-12T15:42:15.54+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
9512183,WHS4_543,COUNTRY,HRV,EUR,YEAR,Europe,,2018,,,,,,,,98,98.0,,,,2024-07-12T15:42:15.54+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
9532687,WHS4_543,COUNTRY,LTU,EUR,YEAR,Europe,,2018,,,,,,,,96,96.0,,,,2024-07-12T15:42:15.54+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
9536548,WHS4_543,COUNTRY,COD,AFR,YEAR,Africa,,2009,,,,,,,,83,83.0,,,,2024-07-12T15:42:15.54+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
9536946,WHS4_543,COUNTRY,ARM,EUR,YEAR,Europe,,2021,,,,,,,,98,98.0,,,,2024-07-12T15:42:15.54+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
9545263,WHS4_543,COUNTRY,IRL,EUR,YEAR,Europe,,2000,,,,,,,,89,89.0,,,,2024-07-12T15:42:15.54+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
9545903,WHS4_543,COUNTRY,TKM,EUR,YEAR,Europe,,2011,,,,,,,,98,98.0,,,,2024-07-12T15:42:15.54+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
9546368,WHS4_543,COUNTRY,MNG,WPR,YEAR,Western Pacific,,2016,,,,,,,,99,99.0,,,,2024-07-12T15:42:15.54+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
9551516,WHS4_543,COUNTRY,CPV,AFR,YEAR,Africa,,2004,,,,,,,,99,99.0,,,,2024-07-12T15:42:15.54+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
