Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
2877645,ROTAC,COUNTRY,VEN,YEAR,AMR,Americas,,2010,,,,,,,,49,49.0,,,,2024-07-12T15:36:37.797+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
4647646,ROTAC,COUNTRY,FIN,YEAR,EUR,Europe,,2011,,,,,,,,93,93.0,,,,2024-07-12T15:36:37.797+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
8852985,ROTAC,COUNTRY,HND,YEAR,AMR,Americas,,2012,,,,,,,,98,98.0,,,,2024-07-12T15:36:37.797+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
2249898,ROTAC,COUNTRY,ARG,YEAR,AMR,Americas,,2022,,,,,,,,80,80.0,,,,2024-07-12T15:36:37.797+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
2316903,ROTAC,COUNTRY,LBY,YEAR,EMR,Eastern Mediterranean,,2017,,,,,,,,96,96.0,,,,2024-07-12T15:36:37.797+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
7871449,ROTAC,COUNTRY,SAU,YEAR,EMR,Eastern Mediterranean,,2013,,,,,,,,84,84.0,,,,2024-07-12T15:36:37.797+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
2777426,ROTAC,COUNTRY,TKM,YEAR,EUR,Europe,,2020,,,,,,,,95,95.0,,,,2024-07-12T15:36:37.797+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
5341125,ROTAC,WORLDBANKINCOMEGROUP,WB_LMI,YEAR,,,,2015,,,,,,,,13,13.0,,,,2024-07-12T15:36:37.797+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
7617479,ROTAC,COUNTRY,CAN,YEAR,AMR,Americas,,2018,,,,,,,,79,79.0,,,,2024-07-12T15:36:37.797+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
9676121,ROTAC,COUNTRY,MEX,YEAR,AMR,Americas,,2013,,,,,,,,81,81.0,,,,2024-07-12T15:36:37.797+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
6596334,ROTAC,COUNTRY,ECU,YEAR,AMR,Americas,,2012,,,,,,,,87,87.0,,,,2024-07-12T15:36:37.797+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
4914640,ROTAC,COUNTRY,MHL,YEAR,WPR,Western Pacific,,2022,,,,,,,,49,49.0,,,,2024-07-12T15:36:37.797+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
2116488,ROTAC,COUNTRY,AUS,YEAR,WPR,Western Pacific,,2010,,,,,,,,84,84.0,,,,2024-07-12T15:36:37.797+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
573766,ROTAC,COUNTRY,MUS,YEAR,AFR,Africa,,2015,,,,,,,,66,66.0,,,,2024-07-12T15:36:37.797+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
2998021,ROTAC,COUNTRY,KWT,YEAR,EMR,Eastern Mediterranean,,2020,,,,,,,,73,73.0,,,,2024-07-12T15:36:37.797+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
6549655,ROTAC,COUNTRY,CRI,YEAR,AMR,Americas,,2019,,,,,,,,59,59.0,,,,2024-07-12T15:36:37.797+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
3158302,ROTAC,REGION,EUR,YEAR,,,,2014,,,,,,,,12,12.0,,,,2024-07-12T15:36:37.797+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
3692713,ROTAC,WORLDBANKINCOMEGROUP,WB_UMI,YEAR,,,,2008,,,,,,,,10,10.0,,,,2024-07-12T15:36:37.797+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
5414814,ROTAC,COUNTRY,COD,YEAR,AFR,Africa,,2023,,,,,,,,52,52.0,,,,2024-07-12T15:36:37.797+02:00,2023,2023-01-01T00:00:00+01:00,2023-12-31T00:00:00+01:00
