Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
9436257,WHS4_117,COUNTRY,ETH,AFR,YEAR,Africa,,,2012,,,,,,,62,62.0,,,,2024-07-12T15:39:16.047+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
9444249,WHS4_117,COUNTRY,IRQ,EMR,YEAR,Eastern Mediterranean,,,2008,,,,,,,66,66.0,,,,2024-07-12T15:39:16.047+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
9444408,WHS4_117,COUNTRY,BTN,SEAR,YEAR,South-East Asia,,,2020,,,,,,,96,96.0,,,,2024-07-12T15:39:16.047+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
9444627,WHS4_117,COUNTRY,MDA,EUR,YEAR,Europe,,,2019,,,,,,,94,94.0,,,,2024-07-12T15:39:16.047+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
9449453,WHS4_117,COUNTRY,ROU,EUR,YEAR,Europe,,,2002,,,,,,,99,99.0,,,,2024-07-12T15:39:16.047+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
9455757,WHS4_117,COUNTRY,SVK,EUR,YEAR,Europe,,,2020,,,,,,,97,97.0,,,,2024-07-12T15:39:16.047+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
9456610,WHS4_117,COUNTRY,TZA,AFR,YEAR,Africa,,,2005,,,,,,,90,90.0,,,,2024-07-12T15:39:16.047+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
9460418,WHS4_117,COUNTRY,PRK,SEAR,YEAR,South-East Asia,,,2004,,,,,,,98,98.0,,,,2024-07-12T15:39:16.047+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
9463560,WHS4_117,COUNTRY,MYS,WPR,YEAR,Western Pacific,,,2002,,,,,,,95,95.0,,,,2024-07-12T15:39:16.047+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
9467302,WHS4_117,COUNTRY,PNG,WPR,YEAR,Western Pacific,,,2014,,,,,,,52,52.0,,,,2024-07-12T15:39:16.047+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
9468169,WHS4_117,COUNTRY,QAT,EMR,YEAR,Eastern Mediterranean,,,2007,,,,,,,94,94.0,,,,2024-07-12T15:39:16.047+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
9468758,WHS4_117,COUNTRY,THA,SEAR,YEAR,South-East Asia,,,2002,,,,,,,95,95.0,,,,2024-07-12T15:39:16.047+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
9472529,WHS4_117,COUNTRY,LBN,EMR,YEAR,Eastern Mediterranean,,,2000,,,,,,,83,83.0,,,,2024-07-12T15:39:16.047+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
9473127,WHS4_117,REGION,AFR,,YEAR,,,,2008,,,,,,,64,64.0,,,,2024-07-12T15:39:16.047+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
9473562,WHS4_117,COUNTRY,KIR,WPR,YEAR,Western Pacific,,,2014,,,,,,,75,75.0,,,,2024-07-12T15:39:16.047+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
9474931,WHS4_117,COUNTRY,ETH,AFR,YEAR,Africa,,,2010,,,,,,,62,62.0,,,,2024-07-12T15:39:16.047+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
9477590,WHS4_117,COUNTRY,ESP,EUR,YEAR,Europe,,,2021,,,,,,,92,92.0,,,,2024-07-12T15:39:16.047+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
9479562,WHS4_117,COUNTRY,VNM,WPR,YEAR,Western Pacific,,,2016,,,,,,,96,96.0,,,,2024-07-12T15:39:16.047+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
9484959,WHS4_117,COUNTRY,KNA,AMR,YEAR,Americas,,,2019,,,,,,,97,97.0,,,,2024-07-12T15:39:16.047+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
9484998,WHS4_117,COUNTRY,SYR,EMR,YEAR,Eastern Mediterranean,,,2006,,,,,,,83,83.0,,,,2024-07-12T15:39:16.047+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
9485609,WHS4_117,COUNTRY,COM,AFR,YEAR,Africa,,,2016,,,,,,,75,75.0,,,,2024-07-12T15:39:16.047+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
9497913,WHS4_117,COUNTRY,BRB,AMR,YEAR,Americas,,,2004,,,,,,,93,93.0,,,,2024-07-12T15:39:16.047+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
9499127,WHS4_117,COUNTRY,YEM,EMR,YEAR,Eastern Mediterranean,,,2014,,,,,,,70,70.0,,,,2024-07-12T15:39:16.047+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
9499237,WHS4_117,COUNTRY,MKD,EUR,YEAR,Europe,,,2005,,,,,,,53,53.0,,,,2024-07-12T15:39:16.047+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
9500037,WHS4_117,COUNTRY,MCO,EUR,YEAR,Europe,,,2015,,,,,,,99,99.0,,,,2024-07-12T15:39:16.047+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
9504008,WHS4_117,COUNTRY,MRT,AFR,YEAR,Africa,,,2008,,,,,,,74,74.0,,,,2024-07-12T15:39:16.047+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
